,Location,Indicator,Value,SurveyYearLabel,ind1,periode,sex,year,indicateur
355,South-East,Median age at first sexual intercourse [Women]: 30-34,18.7,2005-06,Median age at first sexual intercourse [Women], 30-34,Women,2005,Median age at first sexual intercourse 
356,North,Median age at first sexual intercourse [Women]: 30-34,17.9,2005-06,Median age at first sexual intercourse [Women], 30-34,Women,2005,Median age at first sexual intercourse 
357,North-East,Median age at first sexual intercourse [Women]: 30-34,19.4,2005-06,Median age at first sexual intercourse [Women], 30-34,Women,2005,Median age at first sexual intercourse 
358,Artibonite,Median age at first sexual intercourse [Women]: 30-34,17.3,2005-06,Median age at first sexual intercourse [Women], 30-34,Women,2005,Median age at first sexual intercourse 
359,Centre,Median age at first sexual intercourse [Women]: 30-34,17.8,2005-06,Median age at first sexual intercourse [Women], 30-34,Women,2005,Median age at first sexual intercourse 
360,South,Median age at first sexual intercourse [Women]: 30-34,17.7,2005-06,Median age at first sexual intercourse [Women], 30-34,Women,2005,Median age at first sexual intercourse 
361,Grande-Anse/Nippes,Median age at first sexual intercourse [Women]: 30-34,16.8,2005-06,Median age at first sexual intercourse [Women], 30-34,Women,2005,Median age at first sexual intercourse 
362,Grande-Anse,Median age at first sexual intercourse [Women]: 30-34,17.3,2005-06,Median age at first sexual intercourse [Women], 30-34,Women,2005,Median age at first sexual intercourse 
363,Nippes,Median age at first sexual intercourse [Women]: 30-34,16.1,2005-06,Median age at first sexual intercourse [Women], 30-34,Women,2005,Median age at first sexual intercourse 
364,North-West,Median age at first sexual intercourse [Women]: 30-34,17.5,2005-06,Median age at first sexual intercourse [Women], 30-34,Women,2005,Median age at first sexual intercourse 
365,Metropolitan area,Median age at first sexual intercourse [Women]: 35-39,17.9,2005-06,Median age at first sexual intercourse [Women], 35-39,Women,2005,Median age at first sexual intercourse 
366,Rest of West,Median age at first sexual intercourse [Women]: 35-39,17.7,2005-06,Median age at first sexual intercourse [Women], 35-39,Women,2005,Median age at first sexual intercourse 
367,South-East,Median age at first sexual intercourse [Women]: 35-39,17.8,2005-06,Median age at first sexual intercourse [Women], 35-39,Women,2005,Median age at first sexual intercourse 
368,North,Median age at first sexual intercourse [Women]: 35-39,18.3,2005-06,Median age at first sexual intercourse [Women], 35-39,Women,2005,Median age at first sexual intercourse 
369,North-East,Median age at first sexual intercourse [Women]: 35-39,18.4,2005-06,Median age at first sexual intercourse [Women], 35-39,Women,2005,Median age at first sexual intercourse 
370,Artibonite,Median age at first sexual intercourse [Women]: 35-39,17.5,2005-06,Median age at first sexual intercourse [Women], 35-39,Women,2005,Median age at first sexual intercourse 
371,Centre,Median age at first sexual intercourse [Women]: 35-39,17.5,2005-06,Median age at first sexual intercourse [Women], 35-39,Women,2005,Median age at first sexual intercourse 
372,South,Median age at first sexual intercourse [Women]: 35-39,17.8,2005-06,Median age at first sexual intercourse [Women], 35-39,Women,2005,Median age at first sexual intercourse 
373,Grande-Anse/Nippes,Median age at first sexual intercourse [Women]: 35-39,16.7,2005-06,Median age at first sexual intercourse [Women], 35-39,Women,2005,Median age at first sexual intercourse 
374,Grande-Anse,Median age at first sexual intercourse [Women]: 35-39,16.7,2005-06,Median age at first sexual intercourse [Women], 35-39,Women,2005,Median age at first sexual intercourse 
375,Nippes,Median age at first sexual intercourse [Women]: 35-39,16.8,2005-06,Median age at first sexual intercourse [Women], 35-39,Women,2005,Median age at first sexual intercourse 
376,North-West,Median age at first sexual intercourse [Women]: 35-39,16.8,2005-06,Median age at first sexual intercourse [Women], 35-39,Women,2005,Median age at first sexual intercourse 
377,Metropolitan area,Median age at first sexual intercourse [Women]: 40-44,18.4,2005-06,Median age at first sexual intercourse [Women], 40-44,Women,2005,Median age at first sexual intercourse 
378,Rest of West,Median age at first sexual intercourse [Women]: 40-44,18.1,2005-06,Median age at first sexual intercourse [Women], 40-44,Women,2005,Median age at first sexual intercourse 
379,South-East,Median age at first sexual intercourse [Women]: 40-44,18.7,2005-06,Median age at first sexual intercourse [Women], 40-44,Women,2005,Median age at first sexual intercourse 
380,North,Median age at first sexual intercourse [Women]: 40-44,18.5,2005-06,Median age at first sexual intercourse [Women], 40-44,Women,2005,Median age at first sexual intercourse 
381,North-East,Median age at first sexual intercourse [Women]: 40-44,18.6,2005-06,Median age at first sexual intercourse [Women], 40-44,Women,2005,Median age at first sexual intercourse 
382,Artibonite,Median age at first sexual intercourse [Women]: 40-44,18.4,2005-06,Median age at first sexual intercourse [Women], 40-44,Women,2005,Median age at first sexual intercourse 
383,Centre,Median age at first sexual intercourse [Women]: 40-44,18.0,2005-06,Median age at first sexual intercourse [Women], 40-44,Women,2005,Median age at first sexual intercourse 
384,South,Median age at first sexual intercourse [Women]: 40-44,18.1,2005-06,Median age at first sexual intercourse [Women], 40-44,Women,2005,Median age at first sexual intercourse 
385,Grande-Anse/Nippes,Median age at first sexual intercourse [Women]: 40-44,17.3,2005-06,Median age at first sexual intercourse [Women], 40-44,Women,2005,Median age at first sexual intercourse 
386,Grande-Anse,Median age at first sexual intercourse [Women]: 40-44,17.3,2005-06,Median age at first sexual intercourse [Women], 40-44,Women,2005,Median age at first sexual intercourse 
387,Nippes,Median age at first sexual intercourse [Women]: 40-44,17.5,2005-06,Median age at first sexual intercourse [Women], 40-44,Women,2005,Median age at first sexual intercourse 
388,North-West,Median age at first sexual intercourse [Women]: 40-44,16.6,2005-06,Median age at first sexual intercourse [Women], 40-44,Women,2005,Median age at first sexual intercourse 
389,Metropolitan area,Median age at first sexual intercourse [Women]: 45-49,19.6,2005-06,Median age at first sexual intercourse [Women], 45-49,Women,2005,Median age at first sexual intercourse 
390,Rest of West,Median age at first sexual intercourse [Women]: 45-49,18.8,2005-06,Median age at first sexual intercourse [Women], 45-49,Women,2005,Median age at first sexual intercourse 
391,South-East,Median age at first sexual intercourse [Women]: 45-49,18.9,2005-06,Median age at first sexual intercourse [Women], 45-49,Women,2005,Median age at first sexual intercourse 
392,North,Median age at first sexual intercourse [Women]: 45-49,19.3,2005-06,Median age at first sexual intercourse [Women], 45-49,Women,2005,Median age at first sexual intercourse 
393,North-East,Median age at first sexual intercourse [Women]: 45-49,19.4,2005-06,Median age at first sexual intercourse [Women], 45-49,Women,2005,Median age at first sexual intercourse 
394,Artibonite,Median age at first sexual intercourse [Women]: 45-49,18.0,2005-06,Median age at first sexual intercourse [Women], 45-49,Women,2005,Median age at first sexual intercourse 
395,Centre,Median age at first sexual intercourse [Women]: 45-49,17.6,2005-06,Median age at first sexual intercourse [Women], 45-49,Women,2005,Median age at first sexual intercourse 
396,South,Median age at first sexual intercourse [Women]: 45-49,18.8,2005-06,Median age at first sexual intercourse [Women], 45-49,Women,2005,Median age at first sexual intercourse 
397,Grande-Anse/Nippes,Median age at first sexual intercourse [Women]: 45-49,17.5,2005-06,Median age at first sexual intercourse [Women], 45-49,Women,2005,Median age at first sexual intercourse 
398,Grande-Anse,Median age at first sexual intercourse [Women]: 45-49,17.3,2005-06,Median age at first sexual intercourse [Women], 45-49,Women,2005,Median age at first sexual intercourse 
399,Nippes,Median age at first sexual intercourse [Women]: 45-49,18.0,2005-06,Median age at first sexual intercourse [Women], 45-49,Women,2005,Median age at first sexual intercourse 
400,North-West,Median age at first sexual intercourse [Women]: 45-49,17.8,2005-06,Median age at first sexual intercourse [Women], 45-49,Women,2005,Median age at first sexual intercourse 
401,Metropolitan area,Median age at first sexual intercourse [Women]: 20-49,18.3,2005-06,Median age at first sexual intercourse [Women], 20-49,Women,2005,Median age at first sexual intercourse 
402,Rest of West,Median age at first sexual intercourse [Women]: 20-49,18.0,2005-06,Median age at first sexual intercourse [Women], 20-49,Women,2005,Median age at first sexual intercourse 
403,South-East,Median age at first sexual intercourse [Women]: 20-49,18.5,2005-06,Median age at first sexual intercourse [Women], 20-49,Women,2005,Median age at first sexual intercourse 
404,North,Median age at first sexual intercourse [Women]: 20-49,18.0,2005-06,Median age at first sexual intercourse [Women], 20-49,Women,2005,Median age at first sexual intercourse 
405,North-East,Median age at first sexual intercourse [Women]: 20-49,18.5,2005-06,Median age at first sexual intercourse [Women], 20-49,Women,2005,Median age at first sexual intercourse 
406,Artibonite,Median age at first sexual intercourse [Women]: 20-49,17.6,2005-06,Median age at first sexual intercourse [Women], 20-49,Women,2005,Median age at first sexual intercourse 
407,Centre,Median age at first sexual intercourse [Women]: 20-49,18.0,2005-06,Median age at first sexual intercourse [Women], 20-49,Women,2005,Median age at first sexual intercourse 
408,South,Median age at first sexual intercourse [Women]: 20-49,18.0,2005-06,Median age at first sexual intercourse [Women], 20-49,Women,2005,Median age at first sexual intercourse 
409,Grande-Anse/Nippes,Median age at first sexual intercourse [Women]: 20-49,17.1,2005-06,Median age at first sexual intercourse [Women], 20-49,Women,2005,Median age at first sexual intercourse 
410,Grande-Anse,Median age at first sexual intercourse [Women]: 20-49,17.1,2005-06,Median age at first sexual intercourse [Women], 20-49,Women,2005,Median age at first sexual intercourse 
411,Nippes,Median age at first sexual intercourse [Women]: 20-49,17.0,2005-06,Median age at first sexual intercourse [Women], 20-49,Women,2005,Median age at first sexual intercourse 
412,North-West,Median age at first sexual intercourse [Women]: 20-49,17.3,2005-06,Median age at first sexual intercourse [Women], 20-49,Women,2005,Median age at first sexual intercourse 
413,Metropolitan area,Median age at first sexual intercourse [Women]: 25-49,18.5,2005-06,Median age at first sexual intercourse [Women], 25-49,Women,2005,Median age at first sexual intercourse 
414,Rest of West,Median age at first sexual intercourse [Women]: 25-49,18.2,2005-06,Median age at first sexual intercourse [Women], 25-49,Women,2005,Median age at first sexual intercourse 
415,South-East,Median age at first sexual intercourse [Women]: 25-49,18.5,2005-06,Median age at first sexual intercourse [Women], 25-49,Women,2005,Median age at first sexual intercourse 
416,North,Median age at first sexual intercourse [Women]: 25-49,18.1,2005-06,Median age at first sexual intercourse [Women], 25-49,Women,2005,Median age at first sexual intercourse 
417,North-East,Median age at first sexual intercourse [Women]: 25-49,18.7,2005-06,Median age at first sexual intercourse [Women], 25-49,Women,2005,Median age at first sexual intercourse 
418,Artibonite,Median age at first sexual intercourse [Women]: 25-49,17.6,2005-06,Median age at first sexual intercourse [Women], 25-49,Women,2005,Median age at first sexual intercourse 
419,Centre,Median age at first sexual intercourse [Women]: 25-49,17.8,2005-06,Median age at first sexual intercourse [Women], 25-49,Women,2005,Median age at first sexual intercourse 
420,South,Median age at first sexual intercourse [Women]: 25-49,18.1,2005-06,Median age at first sexual intercourse [Women], 25-49,Women,2005,Median age at first sexual intercourse 
421,Grande-Anse/Nippes,Median age at first sexual intercourse [Women]: 25-49,17.1,2005-06,Median age at first sexual intercourse [Women], 25-49,Women,2005,Median age at first sexual intercourse 
422,Grande-Anse,Median age at first sexual intercourse [Women]: 25-49,17.1,2005-06,Median age at first sexual intercourse [Women], 25-49,Women,2005,Median age at first sexual intercourse 
423,Nippes,Median age at first sexual intercourse [Women]: 25-49,17.0,2005-06,Median age at first sexual intercourse [Women], 25-49,Women,2005,Median age at first sexual intercourse 
424,North-West,Median age at first sexual intercourse [Women]: 25-49,17.1,2005-06,Median age at first sexual intercourse [Women], 25-49,Women,2005,Median age at first sexual intercourse 
425,Metropolitan area,Median age at first sexual intercourse [Men]: 20-24,15.6,2005-06,Median age at first sexual intercourse [Men], 20-24,Men,2005,Median age at first sexual intercourse 
426,Rest of West,Median age at first sexual intercourse [Men]: 20-24,15.0,2005-06,Median age at first sexual intercourse [Men], 20-24,Men,2005,Median age at first sexual intercourse 
427,South-East,Median age at first sexual intercourse [Men]: 20-24,15.9,2005-06,Median age at first sexual intercourse [Men], 20-24,Men,2005,Median age at first sexual intercourse 
428,North,Median age at first sexual intercourse [Men]: 20-24,14.6,2005-06,Median age at first sexual intercourse [Men], 20-24,Men,2005,Median age at first sexual intercourse 
429,North-East,Median age at first sexual intercourse [Men]: 20-24,15.9,2005-06,Median age at first sexual intercourse [Men], 20-24,Men,2005,Median age at first sexual intercourse 
430,Artibonite,Median age at first sexual intercourse [Men]: 20-24,15.2,2005-06,Median age at first sexual intercourse [Men], 20-24,Men,2005,Median age at first sexual intercourse 
431,Centre,Median age at first sexual intercourse [Men]: 20-24,16.4,2005-06,Median age at first sexual intercourse [Men], 20-24,Men,2005,Median age at first sexual intercourse 
432,South,Median age at first sexual intercourse [Men]: 20-24,15.4,2005-06,Median age at first sexual intercourse [Men], 20-24,Men,2005,Median age at first sexual intercourse 
433,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 20-24,15.8,2005-06,Median age at first sexual intercourse [Men], 20-24,Men,2005,Median age at first sexual intercourse 
434,Grande-Anse,Median age at first sexual intercourse [Men]: 20-24,15.9,2005-06,Median age at first sexual intercourse [Men], 20-24,Men,2005,Median age at first sexual intercourse 
435,Nippes,Median age at first sexual intercourse [Men]: 20-24,15.8,2005-06,Median age at first sexual intercourse [Men], 20-24,Men,2005,Median age at first sexual intercourse 
436,North-West,Median age at first sexual intercourse [Men]: 20-24,14.9,2005-06,Median age at first sexual intercourse [Men], 20-24,Men,2005,Median age at first sexual intercourse 
437,Metropolitan area,Median age at first sexual intercourse [Men]: 25-29,15.6,2005-06,Median age at first sexual intercourse [Men], 25-29,Men,2005,Median age at first sexual intercourse 
438,Rest of West,Median age at first sexual intercourse [Men]: 25-29,15.1,2005-06,Median age at first sexual intercourse [Men], 25-29,Men,2005,Median age at first sexual intercourse 
439,South-East,Median age at first sexual intercourse [Men]: 25-29,17.3,2005-06,Median age at first sexual intercourse [Men], 25-29,Men,2005,Median age at first sexual intercourse 
440,North,Median age at first sexual intercourse [Men]: 25-29,16.4,2005-06,Median age at first sexual intercourse [Men], 25-29,Men,2005,Median age at first sexual intercourse 
441,North-East,Median age at first sexual intercourse [Men]: 25-29,16.3,2005-06,Median age at first sexual intercourse [Men], 25-29,Men,2005,Median age at first sexual intercourse 
442,Artibonite,Median age at first sexual intercourse [Men]: 25-29,15.8,2005-06,Median age at first sexual intercourse [Men], 25-29,Men,2005,Median age at first sexual intercourse 
443,Centre,Median age at first sexual intercourse [Men]: 25-29,15.6,2005-06,Median age at first sexual intercourse [Men], 25-29,Men,2005,Median age at first sexual intercourse 
444,South,Median age at first sexual intercourse [Men]: 25-29,15.3,2005-06,Median age at first sexual intercourse [Men], 25-29,Men,2005,Median age at first sexual intercourse 
445,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 25-29,16.6,2005-06,Median age at first sexual intercourse [Men], 25-29,Men,2005,Median age at first sexual intercourse 
446,Grande-Anse,Median age at first sexual intercourse [Men]: 25-29,16.1,2005-06,Median age at first sexual intercourse [Men], 25-29,Men,2005,Median age at first sexual intercourse 
447,Nippes,Median age at first sexual intercourse [Men]: 25-29,17.2,2005-06,Median age at first sexual intercourse [Men], 25-29,Men,2005,Median age at first sexual intercourse 
448,North-West,Median age at first sexual intercourse [Men]: 25-29,14.7,2005-06,Median age at first sexual intercourse [Men], 25-29,Men,2005,Median age at first sexual intercourse 
449,Metropolitan area,Median age at first sexual intercourse [Men]: 30-34,16.3,2005-06,Median age at first sexual intercourse [Men], 30-34,Men,2005,Median age at first sexual intercourse 
450,Rest of West,Median age at first sexual intercourse [Men]: 30-34,15.4,2005-06,Median age at first sexual intercourse [Men], 30-34,Men,2005,Median age at first sexual intercourse 
451,South-East,Median age at first sexual intercourse [Men]: 30-34,16.9,2005-06,Median age at first sexual intercourse [Men], 30-34,Men,2005,Median age at first sexual intercourse 
452,North,Median age at first sexual intercourse [Men]: 30-34,15.4,2005-06,Median age at first sexual intercourse [Men], 30-34,Men,2005,Median age at first sexual intercourse 
453,North-East,Median age at first sexual intercourse [Men]: 30-34,16.9,2005-06,Median age at first sexual intercourse [Men], 30-34,Men,2005,Median age at first sexual intercourse 
454,Artibonite,Median age at first sexual intercourse [Men]: 30-34,16.6,2005-06,Median age at first sexual intercourse [Men], 30-34,Men,2005,Median age at first sexual intercourse 
455,Centre,Median age at first sexual intercourse [Men]: 30-34,16.3,2005-06,Median age at first sexual intercourse [Men], 30-34,Men,2005,Median age at first sexual intercourse 
456,South,Median age at first sexual intercourse [Men]: 30-34,15.3,2005-06,Median age at first sexual intercourse [Men], 30-34,Men,2005,Median age at first sexual intercourse 
457,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 30-34,16.4,2005-06,Median age at first sexual intercourse [Men], 30-34,Men,2005,Median age at first sexual intercourse 
458,Grande-Anse,Median age at first sexual intercourse [Men]: 30-34,16.1,2005-06,Median age at first sexual intercourse [Men], 30-34,Men,2005,Median age at first sexual intercourse 
459,Nippes,Median age at first sexual intercourse [Men]: 30-34,16.6,2005-06,Median age at first sexual intercourse [Men], 30-34,Men,2005,Median age at first sexual intercourse 
460,North-West,Median age at first sexual intercourse [Men]: 30-34,16.5,2005-06,Median age at first sexual intercourse [Men], 30-34,Men,2005,Median age at first sexual intercourse 
461,Metropolitan area,Median age at first sexual intercourse [Men]: 35-39,15.5,2005-06,Median age at first sexual intercourse [Men], 35-39,Men,2005,Median age at first sexual intercourse 
462,Rest of West,Median age at first sexual intercourse [Men]: 35-39,17.9,2005-06,Median age at first sexual intercourse [Men], 35-39,Men,2005,Median age at first sexual intercourse 
463,South-East,Median age at first sexual intercourse [Men]: 35-39,16.5,2005-06,Median age at first sexual intercourse [Men], 35-39,Men,2005,Median age at first sexual intercourse 
464,North,Median age at first sexual intercourse [Men]: 35-39,16.5,2005-06,Median age at first sexual intercourse [Men], 35-39,Men,2005,Median age at first sexual intercourse 
465,North-East,Median age at first sexual intercourse [Men]: 35-39,17.3,2005-06,Median age at first sexual intercourse [Men], 35-39,Men,2005,Median age at first sexual intercourse 
466,Artibonite,Median age at first sexual intercourse [Men]: 35-39,16.7,2005-06,Median age at first sexual intercourse [Men], 35-39,Men,2005,Median age at first sexual intercourse 
467,Centre,Median age at first sexual intercourse [Men]: 35-39,16.0,2005-06,Median age at first sexual intercourse [Men], 35-39,Men,2005,Median age at first sexual intercourse 
468,South,Median age at first sexual intercourse [Men]: 35-39,14.1,2005-06,Median age at first sexual intercourse [Men], 35-39,Men,2005,Median age at first sexual intercourse 
469,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 35-39,17.1,2005-06,Median age at first sexual intercourse [Men], 35-39,Men,2005,Median age at first sexual intercourse 
470,Grande-Anse,Median age at first sexual intercourse [Men]: 35-39,17.1,2005-06,Median age at first sexual intercourse [Men], 35-39,Men,2005,Median age at first sexual intercourse 
471,Nippes,Median age at first sexual intercourse [Men]: 35-39,17.0,2005-06,Median age at first sexual intercourse [Men], 35-39,Men,2005,Median age at first sexual intercourse 
472,North-West,Median age at first sexual intercourse [Men]: 35-39,16.3,2005-06,Median age at first sexual intercourse [Men], 35-39,Men,2005,Median age at first sexual intercourse 
473,Metropolitan area,Median age at first sexual intercourse [Men]: 40-44,15.7,2005-06,Median age at first sexual intercourse [Men], 40-44,Men,2005,Median age at first sexual intercourse 
474,Rest of West,Median age at first sexual intercourse [Men]: 40-44,16.7,2005-06,Median age at first sexual intercourse [Men], 40-44,Men,2005,Median age at first sexual intercourse 
475,South-East,Median age at first sexual intercourse [Men]: 40-44,16.5,2005-06,Median age at first sexual intercourse [Men], 40-44,Men,2005,Median age at first sexual intercourse 
476,North,Median age at first sexual intercourse [Men]: 40-44,15.9,2005-06,Median age at first sexual intercourse [Men], 40-44,Men,2005,Median age at first sexual intercourse 
477,North-East,Median age at first sexual intercourse [Men]: 40-44,18.2,2005-06,Median age at first sexual intercourse [Men], 40-44,Men,2005,Median age at first sexual intercourse 
478,Artibonite,Median age at first sexual intercourse [Men]: 40-44,15.5,2005-06,Median age at first sexual intercourse [Men], 40-44,Men,2005,Median age at first sexual intercourse 
479,Centre,Median age at first sexual intercourse [Men]: 40-44,15.6,2005-06,Median age at first sexual intercourse [Men], 40-44,Men,2005,Median age at first sexual intercourse 
480,South,Median age at first sexual intercourse [Men]: 40-44,17.5,2005-06,Median age at first sexual intercourse [Men], 40-44,Men,2005,Median age at first sexual intercourse 
481,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 40-44,17.7,2005-06,Median age at first sexual intercourse [Men], 40-44,Men,2005,Median age at first sexual intercourse 
482,Grande-Anse,Median age at first sexual intercourse [Men]: 40-44,17.4,2005-06,Median age at first sexual intercourse [Men], 40-44,Men,2005,Median age at first sexual intercourse 
483,Nippes,Median age at first sexual intercourse [Men]: 40-44,18.2,2005-06,Median age at first sexual intercourse [Men], 40-44,Men,2005,Median age at first sexual intercourse 
484,North-West,Median age at first sexual intercourse [Men]: 40-44,16.5,2005-06,Median age at first sexual intercourse [Men], 40-44,Men,2005,Median age at first sexual intercourse 
485,Metropolitan area,Median age at first sexual intercourse [Men]: 45-49,15.5,2005-06,Median age at first sexual intercourse [Men], 45-49,Men,2005,Median age at first sexual intercourse 
486,Rest of West,Median age at first sexual intercourse [Men]: 45-49,17.3,2005-06,Median age at first sexual intercourse [Men], 45-49,Men,2005,Median age at first sexual intercourse 
487,South-East,Median age at first sexual intercourse [Men]: 45-49,17.1,2005-06,Median age at first sexual intercourse [Men], 45-49,Men,2005,Median age at first sexual intercourse 
488,North,Median age at first sexual intercourse [Men]: 45-49,17.2,2005-06,Median age at first sexual intercourse [Men], 45-49,Men,2005,Median age at first sexual intercourse 
489,North-East,Median age at first sexual intercourse [Men]: 45-49,18.8,2005-06,Median age at first sexual intercourse [Men], 45-49,Men,2005,Median age at first sexual intercourse 
490,Artibonite,Median age at first sexual intercourse [Men]: 45-49,17.2,2005-06,Median age at first sexual intercourse [Men], 45-49,Men,2005,Median age at first sexual intercourse 
491,Centre,Median age at first sexual intercourse [Men]: 45-49,17.6,2005-06,Median age at first sexual intercourse [Men], 45-49,Men,2005,Median age at first sexual intercourse 
492,South,Median age at first sexual intercourse [Men]: 45-49,16.0,2005-06,Median age at first sexual intercourse [Men], 45-49,Men,2005,Median age at first sexual intercourse 
493,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 45-49,18.1,2005-06,Median age at first sexual intercourse [Men], 45-49,Men,2005,Median age at first sexual intercourse 
494,Grande-Anse,Median age at first sexual intercourse [Men]: 45-49,18.2,2005-06,Median age at first sexual intercourse [Men], 45-49,Men,2005,Median age at first sexual intercourse 
495,Nippes,Median age at first sexual intercourse [Men]: 45-49,17.2,2005-06,Median age at first sexual intercourse [Men], 45-49,Men,2005,Median age at first sexual intercourse 
496,North-West,Median age at first sexual intercourse [Men]: 45-49,16.4,2005-06,Median age at first sexual intercourse [Men], 45-49,Men,2005,Median age at first sexual intercourse 
497,Metropolitan area,Median age at first sexual intercourse [Men]: 50-54,16.7,2005-06,Median age at first sexual intercourse [Men], 50-54,Men,2005,Median age at first sexual intercourse 
498,Rest of West,Median age at first sexual intercourse [Men]: 50-54,15.9,2005-06,Median age at first sexual intercourse [Men], 50-54,Men,2005,Median age at first sexual intercourse 
499,South-East,Median age at first sexual intercourse [Men]: 50-54,18.0,2005-06,Median age at first sexual intercourse [Men], 50-54,Men,2005,Median age at first sexual intercourse 
500,North,Median age at first sexual intercourse [Men]: 50-54,16.4,2005-06,Median age at first sexual intercourse [Men], 50-54,Men,2005,Median age at first sexual intercourse 
501,North-East,Median age at first sexual intercourse [Men]: 50-54,16.2,2005-06,Median age at first sexual intercourse [Men], 50-54,Men,2005,Median age at first sexual intercourse 
502,Artibonite,Median age at first sexual intercourse [Men]: 50-54,17.2,2005-06,Median age at first sexual intercourse [Men], 50-54,Men,2005,Median age at first sexual intercourse 
503,Centre,Median age at first sexual intercourse [Men]: 50-54,15.7,2005-06,Median age at first sexual intercourse [Men], 50-54,Men,2005,Median age at first sexual intercourse 
504,South,Median age at first sexual intercourse [Men]: 50-54,17.5,2005-06,Median age at first sexual intercourse [Men], 50-54,Men,2005,Median age at first sexual intercourse 
505,Grande-Anse/Nippes,Median age at first sexual intercourse [Men]: 50-54,18.4,2005-06,Median age at first sexual intercourse [Men], 50-54,Men,2005,Median age at first sexual intercourse 
506,Grande-Anse,Median age at first sexual intercourse [Men]: 50-54,18.3,2005-06,Median age at first sexual intercourse [Men], 50-54,Men,2005,Median age at first sexual intercourse 
507,Nippes,Median age at first sexual intercourse [Men]: 50-54,18.5,2005-06,Median age at first sexual intercourse [Men], 50-54,Men,2005,Median age at first sexual intercourse 
508,North-West,Median age at first sexual intercourse [Men]: 50-54,17.6,2005-06,Median age at first sexual intercourse [Men], 50-54,Men,2005,Median age at first sexual intercourse 
509,Metropolitan area,"Median age at first sexual intercourse [Men]: 20-49(54,59)",15.7,2005-06,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2005,Median age at first sexual intercourse 
510,Rest of West,"Median age at first sexual intercourse [Men]: 20-49(54,59)",15.9,2005-06,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2005,Median age at first sexual intercourse 
511,South-East,"Median age at first sexual intercourse [Men]: 20-49(54,59)",17.0,2005-06,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2005,Median age at first sexual intercourse 
512,North,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.1,2005-06,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2005,Median age at first sexual intercourse 
513,North-East,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.9,2005-06,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2005,Median age at first sexual intercourse 
514,Artibonite,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.1,2005-06,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2005,Median age at first sexual intercourse 
515,Centre,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.0,2005-06,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2005,Median age at first sexual intercourse 
516,South,"Median age at first sexual intercourse [Men]: 20-49(54,59)",15.9,2005-06,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2005,Median age at first sexual intercourse 
517,Grande-Anse/Nippes,"Median age at first sexual intercourse [Men]: 20-49(54,59)",17.0,2005-06,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2005,Median age at first sexual intercourse 
518,Grande-Anse,"Median age at first sexual intercourse [Men]: 20-49(54,59)",17.2,2005-06,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2005,Median age at first sexual intercourse 
519,Nippes,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.9,2005-06,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2005,Median age at first sexual intercourse 
520,North-West,"Median age at first sexual intercourse [Men]: 20-49(54,59)",16.0,2005-06,Median age at first sexual intercourse [Men]," 20-49(54,59)",Men,2005,Median age at first sexual intercourse 
521,Metropolitan area,"Median age at first sexual intercourse [Men]: 25-49(54,59)",15.8,2005-06,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2005,Median age at first sexual intercourse 
522,Rest of West,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.3,2005-06,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2005,Median age at first sexual intercourse 
523,South-East,"Median age at first sexual intercourse [Men]: 25-49(54,59)",17.3,2005-06,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2005,Median age at first sexual intercourse 
524,North,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.4,2005-06,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2005,Median age at first sexual intercourse 
525,North-East,"Median age at first sexual intercourse [Men]: 25-49(54,59)",17.2,2005-06,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2005,Median age at first sexual intercourse 
526,Artibonite,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.5,2005-06,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2005,Median age at first sexual intercourse 
